Role,Age,Birth Country,Zip,Lat,Long,Departure Time
Nueva Teacher,77,United States,94018,37.51,-122.47,6:50:00 AM
Parent or Guardian of Nueva student,43,China,94010,37.57,-122.38,8:00:00 AM
Parent or Guardian of Nueva student,52,United States,94402,37.54,-122.33,7:45:00 AM
Parent or Guardian of Nueva student,54,China,,#N/A,#N/A,7:40:00 AM
Parent or Guardian of Nueva student,49,China,94087,37.35,-122.04,
Nueva Teacher,36,Spain,94122,37.76,-122.48,7:00:00 AM
Parent or Guardian of Nueva student,52,United States,,#N/A,#N/A,7:30:00 AM
Parent or Guardian of Nueva student,51,China,94112,37.72,-122.44,7:15:00 AM
Parent or Guardian of Nueva student,44,China,94010,37.57,-122.38,7:50:00 AM
Parent or Guardian of Nueva student,46,Australia,94010,37.57,-122.38,7:50:00 AM
Nueva Teacher,37,United States,94019,37.45,-122.40,7:00:00 AM
Parent or Guardian of Nueva student,50,Israel,94301,37.44,-122.15,7:00:00 AM
Nueva alumni,,Australia,,#N/A,#N/A,
Nueva Teacher,39,United States,94080,37.66,-122.42,7:45:00 AM
Parent or Guardian of Nueva student,47,China,94404,37.56,-122.27,7:35:00 AM
Nueva Teacher,25,United States,94404,37.56,-122.27,7:30:00 AM
Parent or Guardian of Nueva student,55,United States,94010,37.57,-122.38,7:50:00 AM
Parent or Guardian of Nueva student,57,Dominican Republic,94401,37.57,-122.32,7:30:00 AM
Nueva Teacher,36,China,94402,37.54,-122.33,7:30:00 AM
Parent or Guardian of Nueva student,43,Algeria,94403,37.54,-122.31,7:25:00 AM
Parent or Guardian of Nueva student,54,China,94107,37.76,-122.40,7:10:00 AM
Parent or Guardian of Nueva student,53,United States,94010,37.57,-122.38,7:50:00 AM
Parent or Guardian of Nueva student,49,China,94010,37.57,-122.38,7:50:00 AM
Parent or Guardian of Nueva student,51,China,94010,37.57,-122.38,7:50:00 AM
Nueva Teacher,67,United States,94403,37.54,-122.31,8:30:00 AM
Parent or Guardian of Nueva student,51,United States,94062,37.43,-122.30,7:50:00 AM
Parent or Guardian of Nueva student,55,China,94107,37.76,-122.40,
Parent or Guardian of Nueva student,57,United States,94062,37.43,-122.30,
Parent or Guardian of Nueva student,42,China,94010,37.57,-122.38,7:55:00 AM
Parent or Guardian of Nueva student,50,United States,94010,37.57,-122.38,7:45:00 AM
Parent or Guardian of Nueva student,,China,,#N/A,#N/A,
Parent or Guardian of Nueva student,53,Japan,94129,37.80,-122.47,7:05:00 AM
Parent or Guardian of Nueva student,45,United States,94010,37.57,-122.38,7:40:00 AM
Parent or Guardian of Nueva student,44,India,94040,37.38,-122.09,7:10:00 AM
Nueva Teacher,35,United States,94110,37.75,-122.42,7:30:00 AM
Parent or Guardian of Nueva student,51,Taiwan,,#N/A,#N/A,
Parent or Guardian of Nueva student,55,United States,94402,37.54,-122.33,7:50:00 AM
Parent or Guardian of Nueva student,47.5,India,,#N/A,#N/A,
Parent or Guardian of Nueva student,46,China,,#N/A,#N/A,7:40:00 AM
Parent or Guardian of Nueva student,44,China,94010,37.57,-122.38,8:00:00 AM
Parent or Guardian of Nueva student,46,United States,94025,37.45,-122.18,7:50:00 AM
Nueva Teacher,,United States,94127,37.74,-122.46,7:10:00 AM
Nueva alumni,18,United States,94002,37.51,-122.30,
Parent or Guardian of Nueva student,50,South Korea,,#N/A,#N/A,
Parent or Guardian of Nueva student,51,United States,94022,37.36,-122.15,7:55:00 AM
Parent or Guardian of Nueva student,64,United States,,#N/A,#N/A,
Parent or Guardian of Nueva student,45,China,94404,37.56,-122.27,7:30:00 AM
Nueva Teacher,34,United States,94027,37.45,-122.20,7:05:00 AM
Parent or Guardian of Nueva student,49,United States,94010,37.57,-122.38,7:55:00 AM
Nueva Teacher,53,United States,94112,37.72,-122.44,7:00:00 AM
